location,iso_code,date,total_cases,total_deaths,new_cases,new_deaths,new_cases_smoothed,new_deaths_smoothed,new_cases_per_million,total_cases_per_million,new_cases_smoothed_per_million,new_deaths_per_million,total_deaths_per_million,new_deaths_smoothed_per_million
United States,USA,6/3/2022,19,0,19,0,2.71,0,0.056,0.056,0.008,0,0,0
United States,USA,6/4/2022,21,0,2,0,3,0,0.006,0.062,0.009,0,0,0
United States,USA,6/5/2022,25,0,4,0,3.57,0,0.012,0.074,0.011,0,0,0
United States,USA,6/6/2022,25,0,0,0,3.57,0,0,0.074,0.011,0,0,0
United States,USA,6/7/2022,25,0,0,0,3.57,0,0,0.074,0.011,0,0,0
United States,USA,6/8/2022,32,0,7,0,4.57,0,0.021,0.095,0.014,0,0,0
United States,USA,6/9/2022,37,0,5,0,5.29,0,0.015,0.11,0.016,0,0,0
United States,USA,6/10/2022,40,0,3,0,3,0,0.009,0.119,0.009,0,0,0
United States,USA,6/11/2022,49,0,9,0,4,0,0.027,0.145,0.012,0,0,0
United States,USA,6/12/2022,49,0,0,0,3.43,0,0,0.145,0.01,0,0,0
United States,USA,6/13/2022,51,0,2,0,3.71,0,0.006,0.151,0.011,0,0,0
United States,USA,6/14/2022,65,0,14,0,5.71,0,0.042,0.193,0.017,0,0,0
United States,USA,6/15/2022,65,0,0,0,4.71,0,0,0.193,0.014,0,0,0
United States,USA,6/16/2022,72,0,7,0,5,0,0.021,0.214,0.015,0,0,0
United States,USA,6/17/2022,84,0,12,0,6.29,0,0.036,0.249,0.019,0,0,0
United States,USA,6/18/2022,100,0,16,0,7.29,0,0.047,0.297,0.022,0,0,0
United States,USA,6/19/2022,113,0,13,0,9.14,0,0.039,0.335,0.027,0,0,0
United States,USA,6/20/2022,113,0,0,0,8.86,0,0,0.335,0.026,0,0,0
United States,USA,6/21/2022,113,0,0,0,6.86,0,0,0.335,0.02,0,0,0
United States,USA,6/22/2022,113,0,0,0,6.86,0,0,0.335,0.02,0,0,0
United States,USA,6/23/2022,142,0,29,0,10,0,0.086,0.421,0.03,0,0,0
United States,USA,6/24/2022,173,0,31,0,12.71,0,0.092,0.513,0.038,0,0,0
United States,USA,6/25/2022,175,0,2,0,10.71,0,0.006,0.519,0.032,0,0,0
United States,USA,6/26/2022,199,0,24,0,12.29,0,0.071,0.591,0.036,0,0,0
United States,USA,6/27/2022,199,0,0,0,12.29,0,0,0.591,0.036,0,0,0
United States,USA,6/28/2022,201,0,2,0,12.57,0,0.006,0.596,0.037,0,0,0
United States,USA,6/29/2022,244,0,43,0,18.71,0,0.128,0.724,0.056,0,0,0
United States,USA,6/30/2022,306,0,62,0,23.43,0,0.184,0.908,0.07,0,0,0
United States,USA,7/1/2022,351,0,45,0,25.43,0,0.134,1.042,0.075,0,0,0
United States,USA,7/2/2022,396,0,45,0,31.57,0,0.134,1.175,0.094,0,0,0
United States,USA,7/3/2022,396,0,0,0,28.14,0,0,1.175,0.084,0,0,0
United States,USA,7/4/2022,396,0,0,0,28.14,0,0,1.175,0.084,0,0,0
United States,USA,7/5/2022,460,0,64,0,37,0,0.19,1.365,0.11,0,0,0
United States,USA,7/6/2022,460,0,0,0,30.86,0,0,1.365,0.092,0,0,0
